p,d,q,sp,sd,sq,s,aic
0,1,4,1,1,1,5,21743.700443977956
0,1,4,2,1,2,5,21716.720416873148
0,1,4,0,1,0,5,25130.861853579736
0,1,4,0,0,2,5,21704.677181980107
0,1,4,2,0,1,5,21726.895670290673
0,1,4,1,1,0,5,23854.89425128649
3,0,2,1,1,2,5,21707.711388447748
3,0,2,0,0,1,5,21723.981809868106
3,0,2,1,0,1,5,21725.154418227932
3,0,2,2,1,0,5,22862.919132031122
3,0,2,2,1,1,5,21708.820343024032
3,0,2,1,0,2,5,21709.801101808487
3,0,2,0,1,2,5,21707.562150425078
3,0,2,2,0,2,5,21712.114997042198
3,0,2,1,0,0,5,21724.146021690336
3,0,2,2,0,0,5,21710.04829211164
3,0,2,0,0,0,5,21750.067630712212
3,0,2,0,1,1,5,21741.97710637802
3,0,2,1,1,1,5,21744.039786422596
3,0,2,2,1,2,5,21709.526191865785
3,0,2,0,1,0,5,24610.485947360532
3,0,2,0,0,2,5,21707.053400250847
3,0,2,2,0,1,5,21710.12932826263
3,0,2,1,1,0,5,23434.076713259456
0,0,0,1,1,2,5,21730.313870968
0,0,0,0,0,1,5,21738.47943236091
0,0,0,1,0,1,5,21740.480160735075
0,0,0,2,1,0,5,23141.34014513794
0,0,0,2,1,1,5,21733.31658553528
0,0,0,1,0,2,5,21721.56459465508
0,0,0,0,1,2,5,21728.367927846783
0,0,0,2,0,2,5,21723.564514182905
0,0,0,1,0,0,5,21745.988221261432
0,0,0,2,0,0,5,21726.090425936607
0,0,0,0,0,0,5,21762.33676446681
0,0,0,0,1,1,5,21748.880601140114
0,0,0,1,1,1,5,21750.664595061797
0,0,0,2,1,2,5,21731.062450731777
0,0,0,0,1,0,5,25360.387418035498
0,0,0,0,0,2,5,21719.56459015535
0,0,0,2,0,1,5,21725.28766192569
0,0,0,1,1,0,5,23863.228932828562
2,0,2,1,1,2,5,21705.788921271524
2,0,2,0,0,1,5,21729.020353916032
2,0,2,1,0,1,5,21730.80276731043
2,0,2,2,1,0,5,23102.369042903534
2,0,2,2,1,1,5,21711.8031932355
2,0,2,1,0,2,5,21711.879061006588
2,0,2,0,1,2,5,21706.020620752362
2,0,2,2,0,2,5,21714.36053422969
2,0,2,1,0,0,5,21732.921726702858
2,0,2,2,0,0,5,21712.353300973053
2,0,2,0,0,0,5,21748.435158268418
2,0,2,0,1,1,5,21740.848755606814
2,0,2,1,1,1,5,21741.991409236973
2,0,2,2,1,2,5,21707.882877617707
2,0,2,0,1,0,5,24727.937854967742
2,0,2,0,0,2,5,21705.64606436968
2,0,2,2,0,1,5,21716.890664869174
2,0,2,1,1,0,5,23492.263992160595
3,0,1,1,1,2,5,21709.654294135587
3,0,1,0,0,1,5,21728.783701760218
3,0,1,1,0,1,5,21726.68763563376
3,0,1,2,1,0,5,23097.146752043984
3,0,1,2,1,1,5,21706.947658878125
3,0,1,1,0,2,5,21716.097044986185
3,0,1,0,1,2,5,21709.915386612643
3,0,1,2,0,2,5,21713.3922032873
3,0,1,1,0,0,5,21724.80307086423
3,0,1,2,0,0,5,21711.971064340738
3,0,1,0,0,0,5,21750.945371169037
3,0,1,0,1,1,5,21744.805653019146
3,0,1,1,1,1,5,21743.778751722057
3,0,1,2,1,2,5,21706.077327681967
3,0,1,0,1,0,5,25339.179367547018
3,0,1,0,0,2,5,21714.648619976433
3,0,1,2,0,1,5,21711.1850738797
3,0,1,1,1,0,5,23832.851649539494
0,1,3,1,1,2,5,21722.387674847352
0,1,3,0,0,1,5,21731.052770852133
0,1,3,1,0,1,5,21733.01585628335
0,1,3,2,1,0,5,23132.144307735532
0,1,3,2,1,1,5,21743.56179509654
0,1,3,1,0,2,5,21711.772963673735
0,1,3,0,1,2,5,21719.619648362874
0,1,3,2,0,2,5,21713.56420985623
0,1,3,1,0,0,5,21745.86249833995
0,1,3,2,0,0,5,21724.286293077497
0,1,3,0,0,0,5,21749.56095106555
0,1,3,0,1,1,5,21748.041649754436
0,1,3,1,1,1,5,21749.102039457634
0,1,3,2,1,2,5,21723.194342582436
0,1,3,0,1,0,5,25344.49807838123
0,1,3,0,0,2,5,21708.9278899508
0,1,3,2,0,1,5,21726.197483637006
0,1,3,1,1,0,5,23857.069956873158
2,1,4,1,1,2,5,21726.28373966066
2,1,4,0,0,1,5,21726.43727292469
2,1,4,1,0,1,5,21730.082102345317
2,1,4,2,1,0,5,22638.285820248184
2,1,4,2,1,1,5,21733.56168815191
2,1,4,1,0,2,5,21709.284560347798
2,1,4,0,1,2,5,21721.39731164922
2,1,4,2,0,2,5,21710.70727172546
2,1,4,1,0,0,5,21743.081306843545
2,1,4,2,0,0,5,21718.875394083945
2,1,4,0,0,0,5,21746.855092370173
2,1,4,0,1,1,5,21748.189818583094
2,1,4,1,1,1,5,21749.768363534284
2,1,4,2,1,2,5,21721.5421705483
2,1,4,0,1,0,5,24068.249195817396
2,1,4,0,0,2,5,21706.93748004992
2,1,4,2,0,1,5,21718.5664143573
2,1,4,1,1,0,5,23120.948751757227
3,0,4,1,1,2,5,21701.329503549183
3,0,4,0,0,1,5,21723.44823827991
3,0,4,1,0,1,5,21733.23704746857
3,0,4,2,1,0,5,22855.70929554222
3,0,4,2,1,1,5,21710.848156732514
3,0,4,1,0,2,5,21704.561229283398
